timestamp,game_id,home_team,away_team,home_score,away_score,status,home_wins,score_diff
2026-04-15T00:49:34.075114,401811041,Boston Celtics,Orlando Magic,113,108,Final,1,5
2026-04-15T00:49:34.075141,401811042,Cleveland Cavaliers,Washington Wizards,130,117,Final,1,13
2026-04-15T00:49:34.075150,401811043,Indiana Pacers,Detroit Pistons,121,133,Final,0,-12
2026-04-15T00:49:34.075157,401811044,Miami Heat,Atlanta Hawks,143,117,Final,1,26
2026-04-15T00:49:34.075163,401811045,New York Knicks,Charlotte Hornets,96,110,Final,0,-14
2026-04-15T00:49:34.075170,401811046,Philadelphia 76ers,Milwaukee Bucks,126,106,Final,1,20
2026-04-15T00:49:34.075180,401811047,Toronto Raptors,Brooklyn Nets,136,101,Final,1,35
20260316,401810838,Atlanta Hawks,Orlando Magic,124,112,Final,1,12
20260316,401810839,Washington Wizards,Golden State Warriors,117,125,Final,0,-8
20260316,401810840,Brooklyn Nets,Portland Trail Blazers,95,114,Final,0,-19
20260316,401810841,Boston Celtics,Phoenix Suns,120,112,Final,1,8
20260316,401810842,Chicago Bulls,Memphis Grizzlies,132,107,Final,1,25
20260316,401810843,New Orleans Pelicans,Dallas Mavericks,129,111,Final,1,18
20260316,401810844,Houston Rockets,Los Angeles Lakers,92,100,Final,0,-8
20260316,401810845,LA Clippers,San Antonio Spurs,115,119,Final,0,-4
20260317,401810846,Charlotte Hornets,Miami Heat,136,106,Final,1,30
20260317,401810847,Orlando Magic,Oklahoma City Thunder,108,113,Final,0,-5
20260317,401810848,Washington Wizards,Detroit Pistons,117,130,Final,0,-13
20260317,401810849,New York Knicks,Indiana Pacers,136,110,Final,1,26
20260317,401810850,Milwaukee Bucks,Cleveland Cavaliers,116,123,Final,0,-7
20260317,401810851,Minnesota Timberwolves,Phoenix Suns,116,104,Final,1,12
20260317,401810852,Denver Nuggets,Philadelphia 76ers,124,96,Final,1,28
20260317,401810853,Sacramento Kings,San Antonio Spurs,104,132,Final,0,-28
20260318,401810854,Boston Celtics,Golden State Warriors,120,99,Final,1,21
20260318,401810855,Brooklyn Nets,Oklahoma City Thunder,92,121,Final,0,-29
20260318,401810856,Indiana Pacers,Portland Trail Blazers,119,127,Final,0,-8
20260318,401810857,Chicago Bulls,Toronto Raptors,109,139,Final,0,-30
20260318,401810859,Minnesota Timberwolves,Utah Jazz,147,111,Final,1,36
20260318,401810860,New Orleans Pelicans,LA Clippers,124,109,Final,1,15
20260318,401810861,Dallas Mavericks,Atlanta Hawks,120,135,Final,0,-15
20260318,401858693,Memphis Grizzlies,Denver Nuggets,125,118,Final,1,7
20260318,401810862,Houston Rockets,Los Angeles Lakers,116,124,Final,0,-8
