game_id,date,home_team,away_team,home_score,away_score,status,home_wins,away_wins,home_losses,away_losses,season_home_win_pct,season_away_win_pct,home_rest_days,away_rest_days,home_is_back_to_back,away_is_back_to_back,score_diff
401810703,2026-02-26,Indiana Pacers,Charlotte Hornets,109,133,Final,15,29,45,31,0.25,0.483,7,7,0,0,-24
401810704,2026-02-26,Philadelphia 76ers,Miami Heat,124,117,Final,33,31,26,29,0.559,0.517,7,7,0,0,7
401810705,2026-02-26,Atlanta Hawks,Washington Wizards,126,96,Final,30,16,31,42,0.492,0.276,7,7,0,0,30
401810706,2026-02-26,Brooklyn Nets,San Antonio Spurs,110,126,Final,15,43,43,16,0.259,0.729,7,7,0,0,-16
401810707,2026-02-26,Orlando Magic,Houston Rockets,108,113,Final,31,37,27,21,0.534,0.638,7,7,0,0,-5
401810708,2026-02-26,Chicago Bulls,Portland Trail Blazers,112,121,Final,24,29,36,31,0.4,0.483,7,7,0,0,-9
401810709,2026-02-26,Dallas Mavericks,Sacramento Kings,121,130,Final,21,14,37,47,0.362,0.23,7,7,0,0,-9
401810710,2026-02-26,Phoenix Suns,Los Angeles Lakers,113,110,Final,34,34,26,24,0.567,0.586,7,7,0,0,3
401810711,2026-02-26,Utah Jazz,New Orleans Pelicans,118,129,Final,18,18,41,42,0.305,0.3,7,7,0,0,-11
401810712,2026-02-26,LA Clippers,Minnesota Timberwolves,88,94,Final,27,37,31,23,0.466,0.617,7,7,0,0,-6
401810713,2026-02-27,Detroit Pistons,Cleveland Cavaliers,122,119,Final,44,37,14,24,0.759,0.607,7,7,0,0,3
401810714,2026-02-27,Boston Celtics,Brooklyn Nets,148,111,Final,39,15,20,44,0.661,0.254,7,1,0,1,37
401810715,2026-02-27,Milwaukee Bucks,New York Knicks,98,127,Final,26,38,32,22,0.448,0.633,7,7,0,0,-29
401810716,2026-02-27,Dallas Mavericks,Memphis Grizzlies,105,124,Final,21,22,38,36,0.356,0.379,1,7,1,0,-19
401810717,2026-02-27,Oklahoma City Thunder,Denver Nuggets,127,121,Final,46,37,15,23,0.754,0.617,7,7,0,0,6
401810718,2026-02-28,Charlotte Hornets,Portland Trail Blazers,109,93,Final,30,29,31,32,0.492,0.475,2,2,0,0,16
